"","state","median","lower_bound","upper_bound"
"1","alabama",4854.26311372618,1761.58563208421,9708.67909424167
"2","california",14854.204509008,-1434.94326945772,39463.8599399194
"3","connecticut",2761.34724295305,885.318368712817,6143.59265327266
"4","georgia",11280.2167226005,4456.52712309327,21846.8839908458
"5","iowa",1215.44626615729,317.610240158507,2588.24206721818
"6","idaho",149.597472805467,-130.249576245868,532.468224344557
"7","illinois",10492.4781618687,2985.51841047143,22012.4334938365
"8","indiana",2774.57061816089,188.354452274395,7071.09021005037
"9","kansas",287.706860766452,-1232.43775001329,1975.99561719773
"10","kentucky",2548.22042768692,477.211064184501,5837.59759303841
"11","louisiana",5197.70750464873,1979.04658398214,10426.3560487576
"12","massachusetts",6621.01821140272,2550.98618677184,13503.8051046499
"13","maryland",1762.98374044069,-531.684902572037,5623.44895030342
"14","maine",1126.95548787834,397.791051788015,2267.61938345517
"15","michigan",3655.26716185749,-475.379116145258,9996.35456585128
"16","minnesota",797.037692206746,-1045.77328042781,3006.25400883508
"17","missouri",3492.07537392628,637.65415474086,7780.57195153083
"18","mississippi",3728.22245346445,1639.41169589976,7004.9490622305
"19","montana",-62.7015660766362,-245.651872038169,79.9166540544662
"20","north dakota",38.3936681064474,-90.725108039492,189.479482901735
"21","new hampshire",336.963664406641,-27.299695618721,975.714618829933
"22","new jersey",5038.63582075907,891.675705762699,11711.1123618627
"23","new mexico",232.449335179452,-464.921643667419,1076.77551814455
"24","nevada",214.903070566281,-408.267419000064,1054.51449059925
"25","new york",16318.9403397834,5560.69115394436,33956.3962443217
"26","ohio",5941.75418108358,993.469997140315,13401.9144984848
"27","oklahoma",1773.05243786795,-462.86946229276,4782.21162059326
"28","oregon",1471.54699604313,-1006.52842688009,4554.14732219208
"29","pennsylvania",5450.8603644022,343.414853332727,13215.2520861792
"30","rhode island",469.534994424259,85.2066931223935,1190.41210808903
"31","south dakota",70.4424472051757,-99.2345755984042,274.018712747228
"32","tennessee",3407.81591174775,778.478753257067,7587.45330382324
"33","texas",33032.5285952939,12770.1947531062,65462.8480770276
"34","utah",650.60825869899,-164.884228447643,1764.69416247697
"35","virginia",4671.93127229141,1724.74765277122,9563.91124238365
"36","vermont",193.517576942594,-1.4214707129647,493.232736048063
"37","washington",7.08320259533839,-3205.66413858145,3252.86766282658
"38","wisconsin",3488.11842266346,1272.33813239856,7169.71347125778
"39","wyoming",-19.4259079267469,-162.642791891436,112.689556035743
